"#","","Flow ID","Src IP","Src Port","Dst IP","Dst Port","Protocol","Timestamp","Flow Duration","Tot Fwd Pkts","Tot Bwd Pkts","TotLen Fwd Pkts","TotLen Bwd Pkts","Fwd Pkt Len Max","Fwd Pkt Len Min","Fwd Pkt Len Mean","Fwd Pkt Len Std","Bwd Pkt Len Max","Bwd Pkt Len Min","Bwd Pkt Len Mean","Bwd Pkt Len Std","Flow Byts/s","Flow Pkts/s","Flow IAT Mean","Flow IAT Std","Flow IAT Max","Flow IAT Min","Fwd IAT Tot","Fwd IAT Mean","Fwd IAT Std","Fwd IAT Max","Fwd IAT Min","Bwd IAT Tot","Bwd IAT Mean","Bwd IAT Std","Bwd IAT Max","Bwd IAT Min","Fwd PSH Flags","Bwd PSH Flags","Fwd URG Flags","Bwd URG Flags","Fwd Header Len","Bwd Header Len","Fwd Pkts/s","Bwd Pkts/s","Pkt Len Min","Pkt Len Max","Pkt Len Mean","Pkt Len Std","Pkt Len Var","FIN Flag Cnt","SYN Flag Cnt","RST Flag Cnt","PSH Flag Cnt","ACK Flag Cnt","URG Flag Cnt","CWE Flag Count","ECE Flag Cnt","Down/Up Ratio","Pkt Size Avg","Fwd Seg Size Avg","Bwd Seg Size Avg","Fwd Byts/b Avg","Fwd Pkts/b Avg","Fwd Blk Rate Avg","Bwd Byts/b Avg","Bwd Pkts/b Avg","Bwd Blk Rate Avg","Subflow Fwd Pkts","Subflow Fwd Byts","Subflow Bwd Pkts","Subflow Bwd Byts","Init Fwd Win Byts","Init Bwd Win Byts","Fwd Act Data Pkts","Fwd Seg Size Min","Active Mean","Active Std","Active Max","Active Min","Idle Mean","Idle Std","Idle Max","Idle Min","Label"
"1","624","192.168.4.118-203.73.24.75-4504-80-6","192.168.4.118","4504","203.73.24.75","80","6","12/06/2010 08:34:32 AM","3974862","29","44","86","59811","86","0","2.9655172413793096","15.969799083226464","1460","0","1359.3409090909086","372.02718975289076","15068.950821437324","18.365417466065487","55206.41666666666","195478.31665363663","1566821","167","3735347","133405.25","341775.6887123293","1805015","167","3974862","92438.65116279072","248174.8205743075","1566821","3997","0","0","0","0","768","896","7.295850774190399","11.069566691875089","0","1460","809.4189189189186","728.8624277195806","531240.438541281","0","1","0","0","0","0","0","0","1","820.5068493150685","2.9655172413793105","1359.340909090909","0","0","0","0","0","0","29","86","44","59811","-1","5840","1","0","0","0","0","0","0","0","0","0","ddos"
"2","625","192.168.4.118-203.73.24.75-4504-80-6","192.168.4.118","4504","203.73.24.75","80","6","12/06/2010 08:34:36 AM","63","1","1","0","0","0","0","0","0","0","0","0","0","0.0","31746.031746031742","63","0","63","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","15873.015873015871","15873.015873015871","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","-1","17520","0","0","0","0","0","0","0","0","0","0","ddos"
"3","626","192.168.4.118-203.73.24.75-4505-80-6","192.168.4.118","4505","203.73.24.75","80","6","12/06/2010 08:34:36 AM","476078","2","6","86","3037","86","0","43","60.8111831820431","1460","0","506.16666666666674","740.224402912162","6559.849436436886","16.80396909750083","68011.14285714286","110862.70745149693","232203","6","134","134","0","134","134","476078","95215.6","123467.30357993569","232601","6","0","0","0","0","40","136","4.200992274375206","12.602976823125625","0","1460","347","632.5152172082503","400075.5","0","1","0","0","0","0","0","0","3","390.375","43","506.16666666666674","0","0","0","0","0","0","2","86","6","3037","-1","5840","1","0","0","0","0","0","0","0","0","0","ddos"
"4","627","192.168.4.118-203.73.24.75-4505-80-6","192.168.4.118","4505","203.73.24.75","80","6","12/06/2010 08:34:37 AM","151","2","1","0","0","0","0","0","0","0","0","0","0","0.0","19867.54966887417","75.5","98.28784258493008","145","6","145","145","0","145","145","0","0","0","0","0","0","0","0","0","40","20","13245.033112582783","6622.516556291392","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","-1","17520","0","0","0","0","0","0","0","0","0","0","ddos"
"5","628","192.168.4.118-203.73.24.75-4506-80-6","192.168.4.118","4506","203.73.24.75","80","6","12/06/2010 08:34:37 AM","472507","2","5","73","1050","73","0","36.5","51.61879502661797","1050","0","210","469.5742752749558","2376.6843665808124","14.814595339328307","78751.16666666669","118675.49225078724","232355","7","179","179","0","179","179","472507","118126.75","131726.85733333448","232875","7","0","0","0","0","40","116","4.232741525522373","10.581853813805932","0","1050","140.375","368.4306244057353","135741.125","0","1","0","0","0","0","0","0","2","160.42857142857142","36.5","210","0","0","0","0","0","0","2","73","5","1050","-1","5840","1","0","0","0","0","0","0","0","0","0","ddos"
"6","629","192.168.4.118-203.73.24.75-4506-80-6","192.168.4.118","4506","203.73.24.75","80","6","12/06/2010 08:34:37 AM","138","1","1","0","0","0","0","0","0","0","0","0","0","0.0","14492.753623188406","138","0","138","138","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","7246.376811594203","7246.376811594203","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","-1","16470","0","0","0","0","0","0","0","0","0","0","ddos"
"7","630","192.168.4.118-203.73.24.75-4507-80-6","192.168.4.118","4507","203.73.24.75","80","6","12/06/2010 08:34:37 AM","469596","2","5","69","890","69","0","34.5","48.790367901871775","890","0","178","398.02009999496255","2042.1809385088445","14.906430208093765","78266","118162.33215200182","231830","7","142","142","0","142","142","469596","117399","131247.33116524693","232353","7","0","0","0","0","40","116","4.258980059455362","10.647450148638404","0","890","119.875","312.11281728613085","97414.41071428572","0","1","0","0","0","0","0","0","2","137","34.5","178","0","0","0","0","0","0","2","69","5","890","-1","5840","1","0","0","0","0","0","0","0","0","0","ddos"
"8","631","192.168.4.118-203.73.24.75-4507-80-6","192.168.4.118","4507","203.73.24.75","80","6","12/06/2010 08:34:37 AM","1978","1","1","0","0","0","0","0","0","0","0","0","0","0.0","1011.1223458038423","1978","0","1978","1978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","505.56117290192117","505.56117290192117","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","-1","16630","0","0","0","0","0","0","0","0","0","0","ddos"
"9","632","192.168.4.118-203.73.24.75-4508-80-6","192.168.4.118","4508","203.73.24.75","80","6","12/06/2010 08:34:37 AM","468629","2","5","70","669","70","0","35","49.49747468305833","669","0","133.8","299.1858953894718","1576.9403942137594","14.937189119751446","78104.83333333334","119118.09406201338","235236","6","92","92","0","92","92","468629","117157.25","132649.37390322154","235540","6","0","0","0","0","40","116","4.267768319928984","10.669420799822461","0","669","92.375","234.27574565029136","54885.12500000001","0","1","0","0","0","0","0","0","2","105.57142857142857","35","133.8","0","0","0","0","0","0","2","70","5","669","-1","5840","1","0","0","0","0","0","0","0","0","0","ddos"
"10","633","192.168.4.118-203.73.24.75-4508-80-6","192.168.4.118","4508","203.73.24.75","80","6","12/06/2010 08:34:38 AM","102","1","1","0","0","0","0","0","0","0","0","0","0","0.0","19607.843137254906","102","0","102","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","9803.921568627453","9803.921568627453","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","-1","16851","0","0","0","0","0","0","0","0","0","0","ddos"
